flow_id,src_ip,dst_ip,src_port,dst_port,total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_start_timestamp,flow_end_timestamp,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
192.168.21.225-192.168.21.70-34781-80,192.168.21.225,192.168.21.70,34781,80,11,6,5,22232.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082873087578.0,1719082873109810.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-41186-80,192.168.21.128,192.168.21.70,41186,80,127,64,63,107535519.0,0.984375,0,0,65,127,0,0,0,0,1683747793207907.0,1683747900743426.0,0,0,0,0,6.044514464099998e-07,2.975760966941537e-07,3.0687534971584604e-07,6.29559429568e-05,5.22246049698e-05,1.0731337987e-05,5,4,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-41110-80,192.168.21.225,192.168.21.70,41110,80,1719,950,769,119623167.0,0.8094736842105263,0,0,957,1719,0,0,0,0,1719306963083041.0,1719307082706208.0,0,0,0,0,8.0001225849e-06,3.9875219153e-06,4.0126006695e-06,0.0006114200270253,0.0002631764464152,0.0003482435806101,1,0,0,956,478,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-54397-80,192.168.21.225,192.168.21.70,54397,80,11,6,5,14409.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082098053645.0,1719082098068054.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-42252-80,192.168.21.128,192.168.21.70,42252,80,48,23,25,99956627.0,1.0869565217391304,0,0,25,48,0,0,0,0,1682527626148077.0,1682527726104704.0,0,0,0,0,2.501084795508357e-07,1.200520701844011e-07,1.300564093664345e-07,3.46350222481e-05,4.5419699886e-06,3.00930522595e-05,6,5,0,14,2,0,0,0,0,0,0,5,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-37290-80,192.168.21.128,192.168.21.70,37290,80,125,64,61,118937582.0,0.953125,0,0,65,125,0,0,0,0,1683679842739897.0,1683679961677479.0,0,0,0,0,5.465051408225199e-07,2.690486847126252e-07,2.774564561098947e-07,5.64834082468e-05,4.69826265679e-05,9.5007816789e-06,5,4,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-41464-80,192.168.21.225,192.168.21.70,41464,80,1646,948,698,119770543.0,0.7362869198312236,0,0,963,1646,0,0,0,0,1719311883220661.0,1719312002991204.0,0,0,0,0,8.0403743347e-06,3.990964623e-06,4.0494097117e-06,0.0006155269747754,0.0002634036651232,0.0003521233096521,0,0,0,963,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.140-192.168.21.70-47214-80,192.168.21.140,192.168.21.70,47214,80,17,8,9,60112495.0,1.125,0,0,9,17,0,0,0,0,1719309948382638.0,1719310008495133.0,0,0,0,0,8.317738267227139e-08,3.3270953068908554e-08,4.990642960336282e-08,3.659804837579941e-07,1.9962571841345129e-07,1.663547653445428e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-41336-80,192.168.21.128,192.168.21.70,41336,80,44,22,22,113950327.0,1.0,0,0,23,44,0,0,0,0,1682580569467315.0,1682580683417642.0,0,0,0,0,2.018423343357321e-07,9.653329033448057e-08,1.0530904400125153e-07,3.5050360145e-05,4.1948102527e-06,3.08555498923e-05,5,4,0,14,1,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.70-43366-80,192.168.21.225,192.168.21.70,43366,80,11,6,5,7038.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082683945337.0,1719082683952375.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-38812-80,192.168.21.128,192.168.21.70,38812,80,40,20,20,103251803.0,1.0,0,0,21,40,0,0,0,0,1682597904618542.0,1682598007870345.0,0,0,0,0,2.0338627888173538e-07,9.685060899130257e-08,1.0653566989043281e-07,2.70988003957e-05,3.6028426544e-06,2.34959577412e-05,5,4,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-43466-80,192.168.21.128,192.168.21.70,43466,80,102,51,51,116367924.0,1.0,0,0,53,102,0,0,0,0,1683699713041511.0,1683699829409435.0,0,0,0,0,4.5545196801826606e-07,2.2342926732971538e-07,2.3202270068855058e-07,4.52788003677e-05,3.68486422426e-05,8.430158125e-06,5,4,0,44,0,0,0,0,3,4,3,0,0.0,0,0,0.0,0,0,6,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-40982-80,192.168.21.128,192.168.21.70,40982,80,60,23,37,119223859.0,1.608695652173913,3,0,36,58,0,0,0,0,1682664486920574.0,1682664606144433.0,1,0,0,0,2.8517781830900137e-07,1.006509946972946e-07,1.8452682361170685e-07,8.58049729794e-05,7.5907625167e-06,7.82142104626e-05,3,3,0,28,1,0,0,0,0,0,0,15,84.66666666666667,90,10,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-40372-80,192.168.21.128,192.168.21.70,40372,80,4,2,2,2308.0,1.0,3,1,0,1,0,0,0,0,1682654172844617.0,1682654172846925.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-43848-80,192.168.21.128,192.168.21.70,43848,80,53,26,27,116586540.0,1.0384615384615383,0,0,27,53,0,0,0,0,1682551146623463.0,1682551263210003.0,0,0,0,0,2.315876258099777e-07,1.1150515316776707e-07,1.200824726422107e-07,3.51841644841e-05,4.4773607656e-06,3.07068037185e-05,6,5,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.70-192.168.21.128-80-49230,192.168.21.70,192.168.21.128,80,49230,43,21,22,100140214.0,1.0476190476190477,0,0,23,43,0,0,0,0,1682576196647377.0,1682576296787591.0,0,0,0,0,2.296779593460825e-07,1.0984598055682205e-07,1.1983197878926044e-07,4.0083796905e-05,2.99180507043e-05,1.01657462006e-05,4,4,0,15,2,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-50540-80,192.168.21.128,192.168.21.70,50540,80,46,23,23,119998113.0,1.0,0,0,24,46,0,0,0,0,1682696257917924.0,1682696377916037.0,0,0,0,0,2.0000314504945597e-07,1.0000157252472797e-07,1.0000157252472797e-07,2.87337851721e-05,3.7333920409e-06,2.50003931311e-05,6,4,0,14,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.140-192.168.21.70-47214-80,192.168.21.140,192.168.21.70,47214,80,14,7,7,60244822.0,1.0,0,0,9,14,0,0,0,0,1719314991943939.0,1719315052188761.0,0,0,0,0,8.299468458882659e-08,3.319787383553063e-08,4.9796810753295945e-08,3.6517661219083693e-07,1.9918724301318378e-07,1.6598936917765318e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-44440-80,192.168.21.225,192.168.21.70,44440,80,11,6,5,11703.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083239176772.0,1719083239188475.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-42252-80,192.168.21.128,192.168.21.70,42252,80,49,24,25,119433348.0,1.0416666666666667,0,0,25,49,0,0,0,0,1682522946245859.0,1682523065679207.0,0,0,0,0,2.0932177167134258e-07,1.0047445040224445e-07,1.0884732126909817e-07,3.42115503619e-05,4.2869098838e-06,2.99246404781e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-36192-80,192.168.21.128,192.168.21.70,36192,80,122,60,62,97575393.0,1.0333333333333334,0,0,63,122,0,0,0,0,1683715373248223.0,1683715470823616.0,0,0,0,0,6.456545862951329e-07,3.177030503991924e-07,3.279515358959405e-07,6.75170224525e-05,5.68381005649e-05,1.06789218876e-05,5,4,0,54,0,0,0,0,4,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.70-192.168.21.128-80-37712,192.168.21.70,192.168.21.128,80,37712,101,49,52,97851861.0,1.0612244897959184,0,0,53,101,0,0,0,0,1683645438095938.0,1683645535947799.0,0,0,0,0,5.416350742680305e-07,2.657077722824301e-07,2.759273019856005e-07,5.49299721545e-05,9.9640414605e-06,4.49659306939e-05,4,4,0,45,0,0,0,0,3,5,3,0,0.0,0,0,0.0,0,0,6,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-41336-80,192.168.21.128,192.168.21.70,41336,80,49,24,25,101733223.0,1.0416666666666667,0,0,25,49,0,0,0,0,1682582849402650.0,1682582951135873.0,0,0,0,0,2.457407645484701e-07,1.1795556698326565e-07,1.2778519756520444e-07,3.39908625523e-05,4.442993023e-06,2.95478695293e-05,6,5,0,14,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-57246-80,192.168.21.128,192.168.21.70,57246,80,80,40,40,110110971.0,1.0,0,0,41,80,0,0,0,0,1683753759128450.0,1683753869239421.0,0,0,0,0,3.723516342436033e-07,1.8163494353346498e-07,1.9071669071013825e-07,5.38365972633e-05,4.41736182673e-05,9.6629789959e-06,4,4,0,33,0,0,0,0,0,4,0,0,0.0,0,0,0.0,0,0,13,0.0,0.0,1.5,2,0,normal
192.168.21.225-192.168.21.70-53920-80,192.168.21.225,192.168.21.70,53920,80,11,6,5,11119.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082760246997.0,1719082760258116.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-52266-80,192.168.21.225,192.168.21.70,52266,80,11,6,5,12959.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082265321895.0,1719082265334854.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-51638-80,192.168.21.225,192.168.21.70,51638,80,11,6,5,10732.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082635085202.0,1719082635095934.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.70-192.168.21.128-80-40472,192.168.21.70,192.168.21.128,80,40472,2,1,1,0.0,1.0,0,0,2,2,0,0,0,0,1682655608091200.0,1682655608091200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,2,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.70-192.168.21.128-80-40420,192.168.21.70,192.168.21.128,80,40420,3,2,1,37894473.0,0.5,0,0,3,3,0,0,0,0,1682654796053964.0,1682654833948437.0,0,0,0,0,7.916721786842107e-08,5.277814524561405e-08,2.6389072622807026e-08,4.54419830564e-05,3.02946553709e-05,1.51473276854e-05,0,0,0,3,0,0,0,0,0,0,0,3,36.66666666666666,90,10,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.70-52683-80,192.168.21.225,192.168.21.70,52683,80,11,6,5,5604.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083307451439.0,1719083307457043.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.70-192.168.21.128-80-50726,192.168.21.70,192.168.21.128,80,50726,3,2,1,14110306.0,0.5,0,0,3,3,0,0,0,0,1682699494420795.0,1682699508531101.0,0,0,0,0,2.1261055571721837e-07,1.4174037047814556e-07,7.087018523907278e-08,0.0001220384589816,8.13589726544e-05,4.06794863272e-05,0,0,0,3,0,0,0,0,0,0,0,3,36.66666666666666,90,10,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.70-192.168.21.128-80-36146,192.168.21.70,192.168.21.128,80,36146,5,2,3,25384782.0,1.5,0,0,2,5,0,0,0,1,1683711792380897.0,1683711817765679.0,0,0,0,0,7.878736165628682e-08,3.939368082814341e-08,3.939368082814341e-08,8.8241845055e-06,4.4120922527e-06,4.4120922527e-06,0,0,0,2,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-57562-80,192.168.21.225,192.168.21.70,57562,80,11,6,5,6365.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083253428107.0,1719083253434472.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-51962-80,192.168.21.225,192.168.21.70,51962,80,11,6,5,14899.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083169153710.0,1719083169168609.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-49230-80,192.168.21.128,192.168.21.70,49230,80,51,24,27,117142551.0,1.125,0,0,27,51,0,0,0,0,1682571016866142.0,1682571134008693.0,0,0,0,0,2.304884072398253e-07,1.1097589978213809e-07,1.1951250745768716e-07,3.50513111158e-05,4.4731824219e-06,3.05781286938e-05,6,5,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-49230-80,192.168.21.128,192.168.21.70,49230,80,48,24,24,111931708.0,1.0,0,0,25,48,0,0,0,0,1682572096833624.0,1682572208765332.0,0,0,0,0,2.233504736656033e-07,1.072082273594896e-07,1.1614224630611372e-07,3.65401374916e-05,4.5920857385e-06,3.19480517531e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.70-192.168.21.128-80-60938,192.168.21.70,192.168.21.128,80,60938,2,1,1,0.0,1.0,0,0,2,2,0,0,0,0,1682614250261268.0,1682614250261268.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,2,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-41704-80,192.168.21.225,192.168.21.70,41704,80,1698,945,753,119718791.0,0.7968253968253968,0,0,963,1698,0,0,0,0,1719308883178883.0,1719309002897674.0,0,0,0,0,8.0438500251e-06,3.9926898359e-06,4.0511601892e-06,0.0006157930545757,0.0002635175291738,0.0003522755254018,0,0,0,963,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-46830-80,192.168.21.128,192.168.21.70,46830,80,113,53,60,99875920.0,1.1320754716981132,0,0,61,113,0,0,0,0,1683797136505011.0,1683797236380931.0,0,0,0,0,6.107578283133712e-07,3.00372702449199e-07,3.1038512586417225e-07,6.65926281329e-05,5.43274094496e-05,1.22652186833e-05,4,4,0,53,0,0,0,0,3,3,3,0,0.0,0,0,0.0,0,0,10,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-56978-80,192.168.21.225,192.168.21.70,56978,80,11,6,5,26629.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082866789631.0,1719082866816260.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-51163-80,192.168.21.225,192.168.21.70,51163,80,11,6,5,29081.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082805621786.0,1719082805650867.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-56110-80,192.168.21.225,192.168.21.70,56110,80,11,6,5,8517.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083575140087.0,1719083575148604.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-40678-80,192.168.21.128,192.168.21.70,40678,80,41,20,21,109138679.0,1.05,0,0,21,41,0,0,0,0,1682659926821253.0,1682660035959932.0,0,0,0,0,1.924157429099907e-07,9.162654424285273e-08,1.00789198667138e-07,2.59394746751e-05,3.4268327546e-06,2.25126419204e-05,4,4,0,13,3,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
