Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label
192.168.21.225-192.168.21.70-41554-80-6,192.168.21.225,41554,192.168.21.70,80,6,2024-06-25 09:30:04.191599,119928391,954,764,31548.0,41586.0,66.0,0.0,33.069182389937055,33.017236650194825,87.0,0.0,54.431937172774845,42.13153373238972,609.8139013638563,14.325215119412382,69847.63599301105,97412.46626288716,252352.0,15.0,119888192.0,125800.83105981108,106147.6228886325,252352.0,645.0,119887902.0,157127.00131061606,107224.97711951038,296564.0,397.0,478,478,0,0,0,0,30540,24448,7.954746928940287,6.370468190472096,0.0,87.0,42.569266589057065,38.81537363977728,1506.6332307955167,0,0,0,956,1718,0,0,0,0.80083857442348,42.56926658905704,33.069182389937104,54.43193717277487,264.0,4.0,350.1159095852188,348.0,4.0,10628.875110717448,0.0,0.0,0.0,0.0,471,506,478,478,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,1,1,1801049151,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-104.45.67.121-57666-5222-6,192.168.21.128,57666,104.45.67.121,5222,6,2023-05-11 09:07:48.367358,110791943,15,10,2243.0,2122.0,443.0,10.0,149.53333333333333,204.97974348236275,235.0,195.0,212.2,19.95995991979944,39.398171760558434,0.225648177322786,4616330.958333333,10624753.92697668,33046253.0,1221.0,110791943.0,7913710.214285713,13100339.187804837,33046253.0,62058.0,110686997.0,12298555.222222222,14873879.31925128,33161603.0,62712.0,5,10,0,0,0,0,300,200,0.1353889063936716,0.0902592709291144,10.0,443.0,174.59999999999997,160.12781353239873,25640.91666666666,0,0,0,15,25,0,0,0,0.6666666666666666,174.6,149.53333333333333,212.2,0.0,0.0,0.0,0.0,0.0,0.0,3.75,560.75,2.5,530.5,1312,2051,15,10,20,0,170601.5,6086.41928120851,178307.0,163423.0,27486316.5,5346457.990961212,33046253.0,21653307.0,-1,-1,0,0,0,1417134511,normal
192.168.21.225-192.168.21.70-41402-80-6,192.168.21.225,41402,192.168.21.70,80,6,2024-06-25 10:54:06.656287,119821701,940,794,31548.0,42108.0,66.0,0.0,33.561702127659615,33.012783874176776,87.0,0.0,53.03274559193963,42.46938142837394,614.7133564728813,14.47150211963691,69141.20080784774,89482.05284136931,257582.0,14.0,119821701.0,127605.64536741209,94358.79136369418,257610.0,516.0,119773846.0,151038.8978562423,106841.86916026886,297256.0,524.0,478,484,0,0,0,0,30152,25408,7.844989615028082,6.626512504608827,0.0,87.0,42.47750865051898,38.858797327488325,1510.006129738814,0,0,0,962,1734,0,0,0,0.8446808510638298,42.47750865051904,33.56170212765957,53.032745591939545,264.0,4.0,350.6506961213251,369.75,4.25,6159.651161337882,0.0,0.0,0.0,0.0,301,506,478,484,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,6,6,6843458508,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.86.201-239.255.255.250-1900-1900-17,192.168.86.201,1900,239.255.255.250,1900,17,2023-04-26 15:05:07.719599,13422,4,0,1398.0,0.0,454.0,281.0,349.5,74.1192732470217,0.0,0.0,0.0,0.0,104157.35359856952,298.01817910892566,4474.0,1843.2894509544608,5938.0,2404.0,13422.0,4474.0,1843.2894509544608,5938.0,2404.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,32,0,298.01817910892566,0.0,281.0,454.0,349.5,74.1192732470217,5493.666666666667,0,0,0,0,0,0,0,0,0.0,349.5,349.5,0.0,1398.0,4.0,104157.35359856952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,13422,normal
192.168.21.128-192.168.21.70-38812-80-6,192.168.21.128,38812,192.168.21.70,80,6,2023-04-27 11:29:01.996843,112703669,22,22,442.0,2994.0,70.0,0.0,20.09090909090909,29.33859653687012,574.0,0.0,136.09090909090915,243.6496135829774,30.48702877632138,0.3904043265885159,2621015.558139535,6597986.3851896925,26819979.0,883.0,112697395.0,5366542.6190476185,8720555.442455528,26821425.0,9580.0,112702142.0,5366768.666666668,8717155.26065074,26821444.0,2677.0,11,11,0,0,0,0,704,704,0.1952021632942579,0.1952021632942579,0.0,574.0,78.09090909090908,181.259138429682,32854.87526427061,0,0,0,22,44,0,5,0,1.0,78.0909090909091,20.09090909090909,136.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,2.4444444444444446,49.11111111111112,2.4444444444444446,332.6666666666667,0,501,11,11,0,32,1156271.6666666667,1806122.088206184,4569903.0,41419.0,17097294.5,8211695.030429484,26819979.0,7513224.0,-1,-1,0,0,0,1350234953,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-46830-80-6,192.168.21.128,46830,192.168.21.70,80,6,2023-05-11 09:27:02.286871,115621271,54,68,6214.0,1162.0,482.0,0.0,115.07407407407408,123.22595472926068,112.0,0.0,17.088235294117645,29.6782423415054,63.79448985645557,1.0551691651962554,955547.6942148756,2269286.946649166,17789788.0,565.0,115619010.0,2181490.7547169807,3036350.6597978566,17812058.0,12265.0,115576161.0,1725017.32835821,2839521.392882746,17836130.0,9978.0,34,34,0,0,0,0,1728,2176,0.4670420895130966,0.5881270756831587,0.0,482.0,60.45901639344262,97.60691510702752,9527.109876710476,0,0,0,68,122,0,4,0,1.2592592592592593,60.459016393442624,115.07407407407408,17.08823529411765,0.0,0.0,0.0,0.0,0.0,0.0,2.0,230.14814814814807,2.5185185185185186,43.03703703703704,0,3171,34,34,0,32,10264631.833333332,20594694.52396625,51866298.0,44280.0,8194277.5,4809443.778948528,17789788.0,5204844.0,-1,-1,0,0,0,2485942203,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-41764-80-6,192.168.21.225,41764,192.168.21.70,80,6,2024-06-25 10:00:05.119276,119813645,952,788,31548.0,41853.0,66.0,0.0,33.13865546218484,33.01705415171049,87.0,0.0,53.11294416243653,42.44420731261052,612.6263832470835,14.522552919577734,68898.01322599198,95481.44570456368,253023.0,14.0,119813645.0,125987.0084121978,104526.49658177054,253063.0,520.0,119730395.0,152135.19059720443,106746.19255530962,296967.0,511.0,478,482,0,0,0,0,30500,25216,7.945672631860921,6.576880287716812,0.0,87.0,42.184482758620746,38.86330403896313,1510.3564008248875,0,0,0,960,1740,0,0,0,0.8277310924369747,42.18448275862069,33.13865546218487,53.11294416243655,264.0,4.0,350.4848772413441,365.4,4.2,9200.32228824655,0.0,0.0,0.0,0.0,407,506,478,482,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,3,3,3601804678,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-40678-80-6,192.168.21.128,40678,192.168.21.70,80,6,2023-04-28 05:47:25.911582,119997249,21,20,380.0,2422.0,70.0,0.0,18.0952380952381,27.70722786910441,574.0,0.0,121.1,233.00980327242164,23.350535311022007,0.3416744995545689,2999931.225,5746387.987190311,21900935.0,883.0,119997249.0,5999862.449999999,6997922.372371,21901968.0,7793.0,106948381.0,5628862.157894736,6977767.197791205,21902884.0,3680.0,11,10,0,0,0,0,672,640,0.1750040119669743,0.1666704875875946,0.0,574.0,68.34146341463413,169.97199912869434,28890.48048780487,0,0,0,21,41,0,4,0,0.9523809523809524,68.34146341463415,18.09523809523809,121.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,38.0,2.0,242.2,1297,504,11,10,32,0,51300.8,42325.10359060631,117632.0,7793.0,11948424.1,4945537.244099538,21900935.0,5273281.0,-1,-1,0,0,0,3329946785,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.230-239.255.255.250-61529-1900-17,192.168.21.230,61529,239.255.255.250,1900,17,2023-05-10 02:19:48.212057,3042287,4,0,700.0,0.0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,230.0900605366949,1.314800345923971,1014095.6666666666,2611.0843213755725,1015643.0,1011081.0,3042287.0,1014095.6666666666,2611.0843213755725,1015643.0,1011081.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,32,0,1.314800345923971,0.0,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,233.3333333333333,0.0,0.0,0,0,4,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,3042287,normal
192.168.21.128-192.168.21.70-33924-80-6,192.168.21.128,33924,192.168.21.70,80,6,2023-05-09 19:07:55.303265,119971961,63,62,5616.0,1150.0,288.0,0.0,89.14285714285714,112.0545456380806,112.0,0.0,18.5483870967742,30.8835344848016,56.39651084806391,1.0419101176482397,967515.8145161292,3268992.945355862,19138679.0,749.0,119970704.0,1935011.3548387096,4434976.724259703,19142822.0,8939.0,119963738.0,1966618.6557377044,4466246.40441986,19140684.0,1519.0,32,33,0,0,0,0,2016,1984,0.5251226992947128,0.5167874183535268,0.0,288.0,54.12799999999998,89.46047748731317,8003.177032258068,0,0,0,65,125,0,4,0,0.984126984126984,54.128,89.14285714285714,18.548387096774192,0.0,0.0,0.0,0.0,0.0,0.0,3.9375,351.0,3.875,71.875,0,4136,32,33,0,32,971226.2,1811076.7730938287,5583265.0,1257.0,10557274.700000005,5681348.454957679,19138679.0,5632913.0,-1,-1,0,0,0,9600006651,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-43002-80-6,192.168.21.225,43002,192.168.21.70,80,6,2024-06-22 18:59:11.882460,11162,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,50528.5791076868,895.8967926894821,1240.2222222222222,2132.771423393619,6660.0,24.0,11162.0,2232.4,2547.1396310371365,6660.0,139.0,10952.0,3650.6666666666665,2879.6404868200707,6768.0,1090.0,1,1,0,0,0,0,200,136,537.5380756136893,358.35871707579287,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,11162,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-48966-80-6,192.168.21.128,48966,192.168.21.70,80,6,2023-04-28 12:25:23.837688,109108539,22,21,442.0,2994.0,70.0,0.0,20.09090909090909,29.33859653687011,574.0,0.0,142.57142857142858,247.71608172029755,31.49157739157336,0.3941029766698645,2597822.357142857,5722864.973281975,21569565.0,794.0,109060893.0,5193375.857142857,7284867.453328635,21572827.0,824.0,109108539.0,5455426.949999999,7384773.909309668,21615091.0,4987.0,11,11,0,0,0,0,704,672,0.2016340810869074,0.1924688955829571,0.0,574.0,79.90697674418607,182.99880483001445,33488.56256921372,0,0,0,22,43,0,5,0,0.9545454545454546,79.90697674418605,20.09090909090909,142.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,2.4444444444444446,49.11111111111112,2.333333333333333,332.6666666666667,0,501,11,11,0,32,564990.0,1108552.8158217296,3131112.0,9663.0,13069200.25,5975237.563673568,21569565.0,5840376.0,-1,-1,0,0,0,4306168315,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.70-41464-80-6,192.168.21.225,41464,192.168.21.70,80,6,2024-06-25 10:00:05.296044,119851935,954,778,31548.0,41679.0,66.0,0.0,33.06918238993708,33.01723665019481,87.0,0.0,53.57197943444727,42.337743400926726,610.9788715551401,14.451164263639132,69238.55285961856,96966.7268621833,255005.0,14.0,119807189.0,125715.83315844696,105792.59558673987,255005.0,530.0,119851866.0,154249.5057915057,106313.54269281594,297805.0,244.0,478,480,0,0,0,0,30552,24896,7.959821424660353,6.491342838978778,0.0,87.0,42.27886836027716,38.84377683237189,1508.8389986031116,0,0,0,958,1732,0,0,0,0.8155136268343816,42.27886836027714,33.069182389937104,53.5719794344473,308.0,4.666666666666667,334.77727166668353,371.25,4.5,7066.145786245521,0.0,0.0,0.0,0.0,346,506,478,480,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,2,2,3602100583,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-46148-80-6,192.168.21.128,46148,192.168.21.70,80,6,2023-05-10 13:58:58.516026,103840606,60,58,5592.0,1124.0,287.0,0.0,93.2,112.54660804773656,112.0,0.0,19.37931034482758,31.44632161916049,64.67604782660841,1.1363570046962168,887526.5470085467,3153303.3966465904,19511926.0,574.0,103836095.0,1759933.8135593217,4284615.719383311,19514086.0,4011.0,103838862.0,1821734.421052632,4348261.231862357,19514311.0,10150.0,32,32,0,0,0,0,1920,1856,0.5778086464557035,0.5585483582405134,0.0,287.0,56.91525423728814,90.7903169157444,8242.881645661306,0,0,0,64,118,0,4,0,0.9666666666666668,56.91525423728814,93.2,19.379310344827587,0.0,0.0,0.0,0.0,0.0,0.0,5.0,466.0,4.833333333333333,93.66666666666669,0,3081,32,32,0,32,1715046.375,2588998.653861535,6532221.0,15538.0,10716072.75,6400951.723416152,19511926.0,5152370.0,-1,-1,0,0,0,4860159899,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-55068-80-6,192.168.21.225,55068,192.168.21.70,80,6,2024-06-22 18:44:59.218638,5571,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,101238.55681206244,1795.009872554299,619.0,827.0365771838632,2463.0,37.0,5571.0,1114.2,884.9314662729538,2463.0,127.0,5442.0,1814.0,665.784499669375,2569.0,1311.0,1,1,0,0,0,0,200,136,1077.0059235325791,718.0039490217196,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,5571,cyberattack_ocpp16_unauthorized_access
